root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;0;1;0;0;1;1;0;1;0;1;0;1;1;0;0;295.68
1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;279.26
1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;287.036666666667
1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;291.603333333333
1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;295.58
1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;275.406666666667
1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;0;299.733333333333
1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;279.193333333333
1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;271.966666666667
1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;279.036666666667
1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;276.103333333333
1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;263.403333333333
1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;295.413333333333
1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;299.676666666667
1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;0;295.41
1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;299.676666666667
1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;252.963333333333
1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;305.4
1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;247.483333333333
1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;252.63
1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;291.14
1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;279.216666666667
1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;291.586666666667
1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;275.46
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;279.246666666667
1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;444.6
1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;446.633333333333
1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;515.543333333333
1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;438.196666666667
1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;439.606666666667
1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;382.01
1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;482.876666666667
1;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;476.33
1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;433.153333333333
1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;482.04
1;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;427.476666666667
1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;425.15
1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;493.893333333333
1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;418.563333333333
1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;0;487.373333333333
1;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;424.82
1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;492.306666666667
1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;369.81
1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;414.173333333333
1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;455.68
1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;260.266666666667
1;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;413.88
1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;462.436666666667
1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;407.686666666667
1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;427.06
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;455.4
1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;445.576666666667
1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;439.106666666667
1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;382.98
1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;381.403333333333
1;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;445.213333333333
1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;419.7
1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;421.113333333333
1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;310.29
1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;425.873333333333
1;1;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;427.796666666667
1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;428.156666666667
1;1;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;564.166666666667
1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;571.473333333333
1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;492.366666666667
1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;543.523333333333
1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;544.823333333333
1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;482.376666666667
1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;476.31
1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;0;462.74
1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;455.72
1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;482.64
1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;0;462.5
1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;407.763333333333
1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;456.436666666667
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;455.513333333333
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;442.25
1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;514.17
1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;436.116666666667
1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;442.546666666667
1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;381.123333333333
1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;254.586666666667
1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;447.423333333333
1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;519.586666666667
1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;254.176666666667
1;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;562.57
1;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;482.59
1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;444.71
1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;0;437.483333333333
1;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;432.773333333333
1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;427.493333333333
1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;476.1
1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;423.076666666667
1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;492.126666666667
1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;416.886666666667
1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;422.646666666667
1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;244.23
1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;367.066666666667
1;1;1;0;1;0;0;0;1;1;1;0;0;1;0;1;0;424.49
1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;424.89
1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;492.623333333333
1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;544.506666666667
1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;536.95
1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;463.24
1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;463.363333333333
1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;407.756666666667
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;455.493333333333
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;611.043333333333
1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;740.21
1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;610.823333333333
1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;510.01
1;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;509.523333333333
1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;721.486666666667
1;1;0;0;0;1;1;1;0;1;1;0;0;1;0;0;1;672.373333333333
1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;817.34
1;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;576.216666666667
1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;266.19
1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;666.25
1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;711.233333333333
1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;579.176666666667
1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;584.82
1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;687.39
1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;496.893333333333
1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;615.286666666667
1;1;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;732.006666666667
1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;581.406666666667
1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;1;613.396666666667
1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;607.376666666667
1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;821.52
1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;783.493333333333
1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;575.863333333333
1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;1;561.373333333333
1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;651.203333333333
1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;1;555.203333333333
1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;665.283333333333
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;643.96
1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;613.446666666667
1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;742.463333333333
1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;268.556666666667
1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;275.386666666667
1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;613.516666666667
1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;741.886666666667
1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;511.506666666667
1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;721.873333333333
1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;580.74
1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;672.6
1;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;617.42
1;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;726.916666666667
1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;1;809.53
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;279.15
1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;665.166666666667
1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;588.54
1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;713.576666666667
1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;581.813333333333
1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;588.2
1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;581.716666666667
1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;499.27
1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;590.55
1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;0;1;493.006666666667
1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;687.473333333333
